"DATE","count"
2015-01-01,18
2015-01-02,29
2015-01-03,23
2015-01-04,11
2015-01-05,19
2015-01-06,15
2015-01-07,24
2015-01-08,23
2015-01-09,19
2015-01-10,22
2015-01-11,28
2015-01-12,27
2015-01-13,27
2015-01-14,30
2015-01-15,28
2015-01-16,31
2015-01-17,35
2015-01-18,29
2015-01-19,36
2015-01-20,30
2015-01-21,20
2015-01-22,31
2015-01-23,31
2015-01-24,24
2015-01-25,17
2015-01-26,32
2015-01-27,24
2015-01-28,33
2015-01-29,45
2015-01-30,23
2015-01-31,21
2015-02-01,16
2015-02-02,13
2015-02-03,19
2015-02-04,23
2015-02-05,23
2015-02-06,29
2015-02-07,39
2015-02-08,23
2015-02-09,26
2015-02-10,29
2015-02-11,23
2015-02-12,29
2015-02-13,32
2015-02-14,19
2015-02-15,28
2015-02-16,32
2015-02-17,32
2015-02-18,25
2015-02-19,20
2015-02-20,26
2015-02-21,28
2015-02-22,28
2015-02-23,23
2015-02-24,35
2015-02-25,22
2015-02-26,24
2015-02-27,22
2015-02-28,19
2015-03-01,20
2015-03-02,24
2015-03-03,14
2015-03-04,19
2015-03-05,24
2015-03-06,19
2015-03-07,31
2015-03-08,17
2015-03-09,22
2015-03-10,31
2015-03-11,23
2015-03-12,29
2015-03-13,26
2015-03-14,31
2015-03-15,17
2015-03-16,27
2015-03-17,28
2015-03-18,38
2015-03-19,16
2015-03-20,27
2015-03-21,19
2015-03-22,29
2015-03-23,27
2015-03-24,17
2015-03-25,35
2015-03-26,33
2015-03-27,22
2015-03-28,17
2015-03-29,30
2015-03-30,30
2015-03-31,23
2015-04-01,24
2015-04-02,19
2015-04-03,29
2015-04-04,14
2015-04-05,16
2015-04-06,27
2015-04-07,23
2015-04-08,30
2015-04-09,33
2015-04-10,30
2015-04-11,24
2015-04-12,21
2015-04-13,41
2015-04-14,27
2015-04-15,33
2015-04-16,27
2015-04-17,25
2015-04-18,25
2015-04-19,13
2015-04-20,31
2015-04-21,24
2015-04-22,15
2015-04-23,27
2015-04-24,22
2015-04-25,30
2015-04-26,36
2015-04-27,28
2015-04-28,31
2015-04-29,23
2015-04-30,26
2015-05-01,29
2015-05-02,19
2015-05-03,35
2015-05-04,27
2015-05-05,32
2015-05-06,35
2015-05-07,25
2015-05-08,38
2015-05-09,20
2015-05-10,20
2015-05-11,27
2015-05-12,36
2015-05-13,26
2015-05-14,40
2015-05-15,27
2015-05-16,17
2015-05-17,27
2015-05-18,19
2015-05-19,35
2015-05-20,28
2015-05-21,38
2015-05-22,36
2015-05-23,31
2015-05-24,30
2015-05-25,50
2015-05-26,42
2015-05-27,35
2015-05-28,39
2015-05-29,32
2015-05-30,26
2015-05-31,27
2015-06-01,28
2015-06-02,23
2015-06-03,29
2015-06-04,29
2015-06-05,28
2015-06-06,26
2015-06-07,22
2015-06-08,33
2015-06-09,32
2015-06-10,47
2015-06-11,38
2015-06-12,32
2015-06-13,36
2015-06-14,24
2015-06-15,51
2015-06-16,30
2015-06-17,40
2015-06-18,27
2015-06-19,20
2015-06-20,27
2015-06-21,32
2015-06-22,35
2015-06-23,23
2015-06-24,34
2015-06-25,37
2015-06-26,19
2015-06-27,33
2015-06-28,26
2015-06-29,33
2015-06-30,27
2015-07-01,31
2015-07-02,33
2015-07-03,26
2015-07-04,26
2015-07-05,20
2015-07-06,38
2015-07-07,28
2015-07-08,23
2015-07-09,25
2015-07-10,28
2015-07-11,32
2015-07-12,22
2015-07-13,43
2015-07-14,34
2015-07-15,25
2015-07-16,31
2015-07-17,37
2015-07-18,26
2015-07-19,30
2015-07-20,35
2015-07-21,28
2015-07-22,28
2015-07-23,29
2015-07-24,26
2015-07-25,21
2015-07-26,30
2015-07-27,18
2015-07-28,37
2015-07-29,26
2015-07-30,36
2015-07-31,27
2015-08-01,15
2015-08-02,20
2015-08-03,38
2015-08-04,29
2015-08-05,31
2015-08-06,35
2015-08-07,31
2015-08-08,33
2015-08-09,27
2015-08-10,25
2015-08-11,38
2015-08-12,21
2015-08-13,39
2015-08-14,34
2015-08-15,26
2015-08-16,30
2015-08-17,33
2015-08-18,32
2015-08-19,42
2015-08-20,60
2015-08-21,35
2015-08-22,25
2015-08-23,34
2015-08-24,38
2015-08-25,46
2015-08-26,44
2015-08-27,44
2015-08-28,27
2015-08-29,34
2015-08-30,46
2015-08-31,26
2015-09-01,25
2015-09-02,32
2015-09-03,31
2015-09-04,40
2015-09-05,29
2015-09-06,31
2015-09-07,24
2015-09-08,28
2015-09-09,45
2015-09-10,26
2015-09-11,38
2015-09-12,32
2015-09-13,30
2015-09-14,37
2015-09-15,41
2015-09-16,36
2015-09-17,39
2015-09-18,42
2015-09-19,35
2015-09-20,42
2015-09-21,38
2015-09-22,34
2015-09-23,41
2015-09-24,21
2015-09-25,37
2015-09-26,37
2015-09-27,30
2015-09-28,43
2015-09-29,35
2015-09-30,49
2015-10-01,41
2015-10-02,25
2015-10-03,36
2015-10-04,25
2015-10-05,43
2015-10-06,30
2015-10-07,28
2015-10-08,28
2015-10-09,25
2015-10-10,36
2015-10-11,33
2015-10-12,50
2015-10-13,51
2015-10-14,46
2015-10-15,38
2015-10-16,36
2015-10-17,34
2015-10-18,28
2015-10-19,34
2015-10-20,42
2015-10-21,52
2015-10-22,29
2015-10-23,35
2015-10-24,35
2015-10-25,22
2015-10-26,27
2015-10-27,36
2015-10-28,40
2015-10-29,22
2015-10-30,18
2015-10-31,19
2015-11-01,30
2015-11-02,35
2015-11-03,29
2015-11-04,37
2015-11-05,28
2015-11-06,41
2015-11-07,33
2015-11-08,32
2015-11-09,36
2015-11-10,25
2015-11-11,30
2015-11-12,26
2015-11-13,39
2015-11-14,25
2015-11-15,33
2015-11-16,25
2015-11-17,16
2015-11-18,29
2015-11-19,34
2015-11-20,27
2015-11-21,16
2015-11-22,29
2015-11-23,32
2015-11-24,46
2015-11-25,46
2015-11-26,22
2015-11-27,29
2015-11-28,33
2015-11-29,28
2015-11-30,25
2015-12-01,25
2015-12-02,31
2015-12-03,20
2015-12-04,35
2015-12-05,25
2015-12-06,35
2015-12-07,35
2015-12-08,36
2015-12-09,40
2015-12-10,33
2015-12-11,38
2015-12-12,53
2015-12-13,23
2015-12-14,39
2015-12-15,43
2015-12-16,44
2015-12-17,42
2015-12-18,49
2015-12-19,43
2015-12-20,22
2015-12-21,38
2015-12-22,47
2015-12-23,38
2015-12-24,30
2015-12-25,20
2015-12-26,26
2015-12-27,23
2015-12-28,42
2015-12-29,24
2015-12-30,22
2015-12-31,29
2016-01-01,12
2016-01-02,19
2016-01-03,19
2016-01-04,21
2016-01-05,30
2016-01-06,23
2016-01-07,24
2016-01-08,35
2016-01-09,35
2016-01-10,26
2016-01-11,29
2016-01-12,26
2016-01-13,28
2016-01-14,26
