"DATE","count"
2015-01-01,68
2015-01-02,80
2015-01-03,90
2015-01-04,51
2015-01-05,103
2015-01-06,85
2015-01-07,79
2015-01-08,98
2015-01-09,73
2015-01-10,69
2015-01-11,79
2015-01-12,103
2015-01-13,92
2015-01-14,82
2015-01-15,92
2015-01-16,97
2015-01-17,63
2015-01-18,76
2015-01-19,104
2015-01-20,104
2015-01-21,81
2015-01-22,109
2015-01-23,98
2015-01-24,82
2015-01-25,79
2015-01-26,87
2015-01-27,80
2015-01-28,96
2015-01-29,119
2015-01-30,87
2015-01-31,64
2015-02-01,66
2015-02-02,69
2015-02-03,91
2015-02-04,103
2015-02-05,94
2015-02-06,104
2015-02-07,103
2015-02-08,74
2015-02-09,91
2015-02-10,94
2015-02-11,106
2015-02-12,94
2015-02-13,101
2015-02-14,68
2015-02-15,64
2015-02-16,103
2015-02-17,107
2015-02-18,95
2015-02-19,76
2015-02-20,81
2015-02-21,92
2015-02-22,77
2015-02-23,76
2015-02-24,86
2015-02-25,82
2015-02-26,84
2015-02-27,79
2015-02-28,58
2015-03-01,67
2015-03-02,106
2015-03-03,77
2015-03-04,105
2015-03-05,83
2015-03-06,82
2015-03-07,85
2015-03-08,67
2015-03-09,97
2015-03-10,87
2015-03-11,101
2015-03-12,112
2015-03-13,92
2015-03-14,100
2015-03-15,87
2015-03-16,108
2015-03-17,120
2015-03-18,107
2015-03-19,79
2015-03-20,109
2015-03-21,91
2015-03-22,90
2015-03-23,100
2015-03-24,84
2015-03-25,101
2015-03-26,95
2015-03-27,88
2015-03-28,67
2015-03-29,86
2015-03-30,98
2015-03-31,96
2015-04-01,102
2015-04-02,80
2015-04-03,101
2015-04-04,58
2015-04-05,66
2015-04-06,100
2015-04-07,99
2015-04-08,102
2015-04-09,120
2015-04-10,87
2015-04-11,86
2015-04-12,87
2015-04-13,129
2015-04-14,106
2015-04-15,99
2015-04-16,85
2015-04-17,92
2015-04-18,97
2015-04-19,82
2015-04-20,116
2015-04-21,96
2015-04-22,80
2015-04-23,124
2015-04-24,83
2015-04-25,80
2015-04-26,95
2015-04-27,99
2015-04-28,97
2015-04-29,83
2015-04-30,101
2015-05-01,112
2015-05-02,73
2015-05-03,97
2015-05-04,101
2015-05-05,99
2015-05-06,100
2015-05-07,94
2015-05-08,106
2015-05-09,84
2015-05-10,73
2015-05-11,105
2015-05-12,114
2015-05-13,101
2015-05-14,120
2015-05-15,72
2015-05-16,90
2015-05-17,101
2015-05-18,76
2015-05-19,127
2015-05-20,114
2015-05-21,91
2015-05-22,122
2015-05-23,66
2015-05-24,90
2015-05-25,137
2015-05-26,130
2015-05-27,116
2015-05-28,110
2015-05-29,98
2015-05-30,80
2015-05-31,97
2015-06-01,116
2015-06-02,103
2015-06-03,96
2015-06-04,88
2015-06-05,100
2015-06-06,78
2015-06-07,81
2015-06-08,100
2015-06-09,105
2015-06-10,125
2015-06-11,98
2015-06-12,104
2015-06-13,100
2015-06-14,71
2015-06-15,120
2015-06-16,86
2015-06-17,123
2015-06-18,90
2015-06-19,82
2015-06-20,82
2015-06-21,95
2015-06-22,106
2015-06-23,100
2015-06-24,100
2015-06-25,119
2015-06-26,80
2015-06-27,85
2015-06-28,74
2015-06-29,100
2015-06-30,76
2015-07-01,90
2015-07-02,95
